2018-03-13
team_name,avgFG,avg3,oppFG,opp3,ftPP,ft,shotsFrom2,shotsFrom3,possPG,toRate,offRebound,defRebound
NORFOLK ST,46.1,37.0,47.3,35.7,0.313,66.6,65.1,34.9,73.7,20.6,29.3,72.3
NORTH DAKOTA,51.4,35.1,56.0,38.0,0.355,71.6,63.6,36.4,75.9,17.1,17.3,72.3
NORTH TEXAS,49.3,34.7,50.0,32.5,0.327,64.3,62.4,37.6,71.2,19.2,29.1,75.3
NORTHEASTRN,57.6,37.3,51.1,29.9,0.351,72.9,54.6,45.4,69.6,19.6,23.4,75.7
NORTHWESTERN,47.1,35.4,49.0,36.2,0.291,74.8,60.7,39.3,67.1,17.5,27.2,74.2
NOTRE DAME,49.6,36.4,47.7,35.9,0.316,75.9,60.4,39.6,67.9,14.5,30.4,73.2
NW STATE,44.9,28.3,53.1,37.2,0.332,58.5,74.6,25.4,73.2,24.0,30.8,68.1
OAKLAND,51.4,35.2,48.5,37.3,0.355,77.0,60.2,39.8,74.3,17.7,26.3,74.1
OHIO,48.4,37.2,50.7,32.4,0.308,71.6,64.9,35.1,76.7,17.6,19.2,75.3
OHIO STATE,55.1,35.3,46.0,34.6,0.315,72.6,66.8,33.2,69.6,17.0,29.2,77.5
OKLAHOMA,53.4,36.3,49.5,36.1,0.331,74.8,59.1,40.9,78.8,16.9,26.2,71.8
OKLAHOMA ST,49.5,34.6,47.4,37.0,0.312,76.2,61.3,38.7,72.9,18.3,32.6,71.4
OLD DOMINION,49.3,35.7,45.6,33.8,0.33,69.2,66.2,33.8,68.7,15.1,31.2,76.8
ORAL ROBERTS,47.7,34.3,53.9,36.5,0.243,69.8,68.0,32.0,70.7,18.5,33.0,70.9
OREGON,52.6,35.2,47.6,35.5,0.302,76.4,57.5,42.5,71.7,16.6,28.8,76.4
OREGON ST,53.3,32.9,48.1,34.8,0.387,70.8,67.2,32.8,70.0,18.9,30.4,73.6
PACIFIC,48.4,32.6,51.7,36.6,0.405,72.6,74.5,25.5,68.8,16.8,28.2,75.3
PENN STATE,49.8,38.4,46.5,34.9,0.311,69.6,67.3,32.7,70.3,17.3,29.7,74.7
PEPPERDINE,48.8,34.2,54.7,40.1,0.352,70.2,70.4,29.6,69.3,16.8,26.2,74.3
PITTSBURGH,47.8,32.5,50.1,33.4,0.319,69.5,52.5,47.5,67.7,20.5,20.2,67.4
PORTLAND,46.5,38.3,51.7,35.7,0.346,68.7,62.2,37.8,69.6,17.8,17.0,70.4
PORTLAND ST,49.1,33.3,54.0,38.0,0.335,70.3,62.6,37.4,78.3,16.0,32.2,70.9
